latitude,longitude,pollutant_min,pollutant_max,pollutant_avg
17.393559,78.339194,15.0,34.0,18.0
23.8175497,91.2726974,9.0,10.0,9.0
27.23711,78.01936,56.0,392.0,179.0
27.23711,78.01936,72.0,430.0,178.0
27.23711,78.01936,20.0,24.0,22.0
27.106972,78.000111,16.0,16.0,16.0
27.19865833,78.00598056,89.0,500.0,282.0
27.19865833,78.00598056,2.0,98.0,45.0
27.19412,77.96237,4.0,10.0,7.0
27.19412,77.96237,11.0,19.0,14.0
27.169338,78.03582,6.0,6.0,6.0
27.19862,77.92066,14.0,19.0,17.0
27.19862,77.92066,10.0,11.0,11.0
28.964949,77.278761,12.0,29.0,19.0
28.964949,77.278761,1.0,26.0,4.0
28.359581,79.414455,46.0,101.0,69.0
28.359581,79.414455,57.0,102.0,70.0
28.38910936,79.42963708,48.0,132.0,77.0
28.38910936,79.42963708,9.0,10.0,10.0
28.646233,77.358075,36.0,128.0,77.0
28.685382,77.453839,8.0,21.0,12.0
26.730136,83.433859,49.0,163.0,84.0
26.730136,83.433859,11.0,12.0,11.0
26.509954,80.249612,20.0,22.0,21.0
26.4703136,80.3229863,80.0,357.0,212.0
26.4703136,80.3229863,18.0,23.0,22.0
28.2348927,77.8683002,12.0,34.0,24.0
26.766433,80.927299,39.0,129.0,86.0
17.528544,78.286195,67.0,76.0,72.0
17.528544,78.286195,11.0,15.0,14.0
17.417094,78.457437,18.0,30.0,24.0
17.349694,78.451437,14.0,102.0,58.0
23.8175497,91.2726974,6.0,8.0,7.0
28.725645,77.749675,52.0,323.0,226.0
25.4547,78.6039,6.0,6.0,6.0
25.4547,78.6039,16.0,48.0,21.0
26.428282,80.327067,36.0,66.0,40.0
28.406963,77.849831,5.0,43.0,22.0
27.168897,78.37696,13.0,17.0,14.0
27.1594,78.3953,45.0,345.0,138.0
27.1594,78.3953,2.0,2.0,2.0
28.646233,77.358075,129.0,421.0,328.0
26.8458805,80.9365541,44.0,49.0,46.0
26.8458805,80.9365541,2.0,26.0,9.0
26.83399722,80.8917361,4.0,11.0,9.0
28.999264,77.7590354,124.0,406.0,214.0
28.999264,77.7590354,12.0,19.0,14.0
28.999264,77.7590354,21.0,51.0,27.0
28.999264,77.7590354,42.0,116.0,67.0
28.9535882,77.7622941,12.0,30.0,18.0
29.06351,77.709723,212.0,389.0,308.0
29.06351,77.709723,126.0,410.0,192.0
29.06351,77.709723,2.0,94.0,31.0
28.83526,78.7446,44.0,296.0,103.0
28.83526,78.7446,57.0,216.0,102.0
28.83526,78.7446,29.0,29.0,29.0
22.06047,88.109737,29.0,60.0,45.0
22.629801,88.352017,10.0,15.0,12.0
22.629801,88.352017,12.0,35.0,19.0
22.554954,88.292568,2.0,10.0,5.0
22.6025571,88.3105664,59.0,113.0,91.0
22.6025571,88.3105664,7.0,9.0,8.0
22.6025571,88.3105664,8.0,41.0,18.0
22.611968,88.347422,100.0,318.0,216.0
22.611968,88.347422,21.0,37.0,26.0
28.840739,78.697531,9.0,84.0,32.0
28.840739,78.697531,3.0,74.0,28.0
28.88528,78.7388,58.0,218.0,122.0
28.88528,78.7388,32.0,82.0,47.0
28.856664,78.772638,65.0,137.0,107.0
28.856664,78.772638,25.0,25.0,25.0
28.849399,78.742362,38.0,74.0,45.0
